,author,body,date,helpful,rating,title
0,['Weasy'],"['Before I begin my review, I want to state that I did not buy my Power Pressure Cooker XL on Amazon, but I do thank them for allowing people to review the same items purchased elsewhere. I come to Amazon any time I want to research a product and usually end up buying here, just not this time.', ""That being said, I noticed a lot of negative feedback about the customer service at the Power Pressure Cooker company. That worried me, as I had just placed my order. I read one woman's review that she went and bought hers at Bed, Bath and Beyond for the same price, so I cancelled my order and just went and picked one up at my local BBB last night. I already roasted a chicken in it and I love it!"", 'The directions are there, just very small in the users manual. They ask you to, essentially, ""season"" the pot and the rubber gasket by filling it with water 2/3 full and setting it to the canning setting. I did that and I\'ll admit I was a little worried about how long it took to reach the pressurized point. (The instructions said it could take up to 17 minutes,  but it was more like 25) for this first time out. It finally completed the canning cycle and I left it alone until this morning.', ""Eager to try it, I got up about 30 minutes earlier than normal; I decided to roast a chicken. I used a 4 lb whole chicken but followed the instructions in the cookbook for the 3 - 2lb chickens. I put the oil in the pot, hit the Chicken/Meat button, seasoned the chicken and by the time I put the chicken in to brown it, it was sizzling. It took about 5 minutes to brown the bird. Then cancelled the Chicken/Meat program and, even though it didn't say to do so, I added about a 1/2 cup of water because I wanted a little extra stock to make soup later. Put the lid on, pushed the Soup/Stew button and adjusted the time to 30 minutes. I waited a few minutes to see how long it took to pressurize and with the food in there, it was just a matter of a couple of minutes. I left to get ready for work and when I came back 40 minutes later, it was on the Keep Warm setting. I made sure all air was released and opened the lid. The smell that hit me was amazing. And, just like on the commercial, the chicken literally fell off the bone. So tender and juicy and full of flavor! I can hardly wait for lunch. Tonight I'm testing out the canning feature and am going to can some chicken soup (that I'm making from the chicken and stock I made this a.m.) so my hubby can have homemade chicken stew for work. Tomorrow... chuck roast. I think this will just take a little trial and error. There are very few recipes in the booklet, but there are lots online. If you can, I suggest buying from a local store or Amazon; when I called to cancel the order with Power Pressure Cooker I could really see what all the complaints were about. They were very pushy and what should have been an easy 1 - 2 minute phone call took about 7 minutes. I really recommend this cooker as I can see how much simpler it's going to make things. I mean heck, I roasted a chicken before work with virtually no clean up other than the pot!"", ""UPDATE -  after using for a while: STILL AWESOME. So far have made the Mac and Cheese (to die for!) a pork roast with honey Dijon sauce, whole chicken, steak... yes, a steak, and a beef pot roast. All came out better than I could have hoped for. I will admit it was strange to cook a rib eye in liquid in a pressure cooker, and I probably won't do it again with an expensive cut, but the flavor of my spices was deep into the middle... very good. I have nothing but good to say about this unit.""]","['on November 4, 2014']","['\n      3,723 people found this helpful.\n    ']",['5.0 out of 5 stars'],['Excellent product - if you buy at the right place.']
1,['CSB'],"[""good news/ bad news...I bought this about six weeks ago . I 'm going to compare it to the Instant Pot , because I've had both. The good news is that this PC is simpler- which I loved. It was easy for me, a person who always has trouble figuring out a manual- to start cooking immediately because of the simplicity of the  buttons. The food tasted fantastic."", "" Whenever asked, they claim that this is a stainless steel pot. Well- the outside of it is. But the inside, which comes in contact with your food- is not. The inner pot is a very lightweight teflon coated pot. I don't want teflon. Would rather have stainless steel. The upper lid appears to be aluminum. Both teflon and aluminum have negative effects on our bodies."", ""In addition, the floating vent ( not the release vent, but the vent inside the handle) fell out after one month's use and no matter how hard my husband and I tried, we could not get it to stay in. So instead of being a pressure cooker, all of the steam was released out of the hole in the handle. The liquid inside thus evaporated. Food burned and the meat  got tough. I threw it out a few days ago, got an Instant Pot, which is clearly more solidly made. The inner pot and the inner lid are both made of stainless steel in the Instant Pot. I will say, however, that I do find the Instant Pot more complicated to work. So there you have it, my views of the two pots. I will say this, though. I will never, ever be without an electric pressure cooker from now on because the food tastes so great!""]","['on May 29, 2017']",['\n      371 people found this helpful.\n    '],['2.0 out of 5 stars'],['good news/ bad news.....']
2,['Joey'],"[""So I'm just a guy who has never used a pressure cooker before and bought this for the wife thinking she might be interested in it. I'm not a good cook by any means, but one quality I do have is the ability to read, which is what I did with the manual for this before I used it. I also read a LOT of reviews before I buy anything, and I'm noticing that people either loved this thing, or hated it. And for the most part (aside for missing pieces and that does suck) all of these negative reviews seem to have not used the instructions at all. For example, you'll see a lot of people complain about food sticking to the pot, but that's probably because they didn't season the pot which is literally  STEP NUMBER 1 in the manual to do before you cook anything in it. Also, there are steps in the manual to fix literally almost everything people have complained about here. And it's all simple little 10 second fixes too. This thing works perfectly fine. I mean I, a horrible cook, just made my first pot roast in about 40 minutes total (15 minutes of prep) and it came out amazing (according to my children). I had no business  cooking mind you but I was trying to give the wife a break. If you look at other pressure cookers you can kind of put the pieces together yourself. Almost all other pressure cooker ratings  are through the roof except for this one, which happens to be the only one with an infomercial. Which means people who don't normally use a pressure cooker would likely buy this. And said people are not familiar with the product. I'm just guessing here, but that just common sense. So far we are more than happy with this product, and my wife is all about me cooking with it too. Please give this a shot, but PLEASE read the instructions.""]","['on April 19, 2015']","['\n      1,525 people found this helpful.\n    ']",['5.0 out of 5 stars'],['READ THE INSTRUCTIONS...']
3,['VitualBuyer'],"['Stopped working after 2 months,  it worked on rice, but I had to put it through 2 cycles.  Probably very cheaply made.  Warrantee in marketing material says 1 year.  Manual says 60 days.  Rip off']","['on April 14, 2017']",['\n      29 people found this helpful.\n    '],['1.0 out of 5 stars'],['Rip-off; Stopped working after 2 months']
4,['Jacqueline M. Franks'],"['Quit working after about 4 months,  it costs $50 to ship to & from the manufacturer for repairs,  not willing to spend that much money on something that quits working so soon after buying,']","['on July 28, 2017']",['\n      11 people found this helpful.\n    '],['1.0 out of 5 stars'],['Power pressure cooker XL8']
5,['Lila R. Dormishian'],"[""After using it only a couple of times, the tephlon on the bottom of the pan is gone and I can't even clean it.  Called the customer care center and they want to charge $30 to replace the pot.  This is really bad quality.  I would not buy another one.""]","['on January 3, 2018']",['\n      8 people found this helpful.\n    '],['1.0 out of 5 stars'],['This is really bad quality. I would not buy another one']
6,['Rock Solid'],"['We had this product less than 3 months and it just quit working, we missed the return date and now we are stuck with it. VERY UNHAPPY']","['on June 27, 2017']",['\n      11 people found this helpful.\n    '],['1.0 out of 5 stars'],['Poor quality']
7,['Annette Leach'],"[""I have been really disappointed in this product. A few months after purchase I had to already replace the pressure vent as I always had issues with it getting up steam. Took about a month the get the replacement. Now, after very little usage, it will not heat at all. Very difficult to find recipies with correct pressure times to use with this as it's different than other cookers which is why I dont use it often. Of course I can send it back at my expense but why would I? It hasn't worked well from the start and I'm not throwing good money after bad. Maybe this one was a lemon but it left a very sour taste. No issues with the shipper, just the product itself.""]","['on March 13, 2017']",['\n      15 people found this helpful.\n    '],['2.0 out of 5 stars'],['I have been really disappointed in this product']
8,['Day Johnson'],"[""This is my 2nd Power Pressure cooker XL & it's honestly the best! 6 quartz pot is just enough for my family of 5. I can cook anything within minutes unless it's beans. So easy to understand, clean and lid is very easy to use. I like that it locks and does not open until all the steam is out of the pot. Moving the cooker isn't hard at all, very lightweight in my opinion. All the features work wonderfully and the warm option is great for soups. The stainless steel look is great for the look we are going for in our kitchen. It doesn't get as dirty as I thought and it wipes clean fairly easily. Great product, I highly recommend it.""]","['on February 3, 2018']",['\n      4 people found this helpful.\n    '],['5.0 out of 5 stars'],['Amazing Pressure Cooker']
9,['Texas-Hunter'],"['I have used this product for one thing only, cooking beans and on the sixth (6) time I used it it would not heat up. No matter what I do it does not work. I contacted the manufacture and they want me to pay 25 bones to ship it to them to see if it can be repaired and another 25 dollars to ship it back to me.. Why would I do that for a defective piece of equipment?? 60 day warranty on defects, You should run, shame on me for not researching this first..', '4 Star when it worked', '2 Star on your warranty on workmanship..']","['on August 15, 2017']",['\n      5 people found this helpful.\n    '],['1.0 out of 5 stars'],['Fail!']
10,['Angel Fabelo'],"[""I got this one because ours was old and not that digital and this one looked amazing.  Well that's the only amazing thing about it.  Doesn't cook the food good and spills.  No flavor whatsoever.  Went back to my old slow cooker""]","['on April 12, 2017']",['\n      7 people found this helpful.\n    '],['1.0 out of 5 stars'],"[""... old and not that digital and this one looked amazing. Well that's the only amazing thing about it""]"
11,['Amazon Customer'],['Only had 4 months and the Teflon on the bottom of the pan is already peeling off.  Not to happy about that.  We are not hard on our cookware and used no stainless steel utensils on it.  Very disappointed in the quality of this!'],"['on February 10, 2018']",['\n      6 people found this helpful.\n    '],['1.0 out of 5 stars'],['already bottom flaking']
12,['Karen Smith'],"['Very versatile! Bought for my adult son (at his request) for quick and easy meals. He is very happy with it, loves to cook using it, and says clean-up is a breeze!']","['on April 9, 2017']",['\n      7 people found this helpful.\n    '],['5.0 out of 5 stars'],['Fast & Easy Meals']
13,['Mac191'],"['Used it twice -once for plain steel cut oatmeal and once for chili. Both times the damn thing literally blew its top all over my kitchen. I put it back in its box, after a thorough cleaning, and gave it away. I did provide the new owner with photos of my horror show as a warning. His result was the same, only with beef stew.']","['on June 17, 2017']",['\n      5 people found this helpful.\n    '],['1.0 out of 5 stars'],['It Was Possessed!']
14,['Jose'],"[""Four months later, It doesn't work anymore.""]","['on March 25, 2017']",['\n      10 people found this helpful.\n    '],['1.0 out of 5 stars'],"[""Four months later, It doesn't work anymore.""]"
